City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,barentu,15.1139,37.5928,290.58,74,5,2.39,ER,1675823458
349,dire,12.2833,-10.9667,297.72,18,5,0.34,ML,1675823459
350,flin flon,54.7682,-101.865,270.86,83,19,4.42,CA,1675823209
351,teahupoo,-17.8333,-149.2667,300.13,60,7,1.88,PF,1675823461
352,varzea da palma,-17.5981,-44.7308,295.25,80,99,0.65,BR,1675823463
353,palora,-1.7,-77.9333,291.51,98,32,0.82,EC,1675823465
354,virginia beach,36.8529,-75.978,284.27,71,75,4.63,US,1675823214
355,farsund,58.0948,6.8047,279.23,100,91,2.64,NO,1675823468
356,virden,39.5009,-89.7679,279.61,74,100,2.28,US,1675823470
357,burnie,-41.0667,145.9167,290.9,83,99,3.54,AU,1675823471
358,toccoa,34.5773,-83.3324,284.98,64,0,0.0,US,1675823257
359,poum,-20.2333,164.0167,299.91,85,100,7.1,NC,1675823473
360,eyl,7.9803,49.8164,298.11,71,100,5.78,SO,1675823475
361,winter garden,28.5653,-81.5862,293.04,78,82,1.34,US,1675823219
362,caloundra,-26.8,153.1333,301.98,67,72,2.68,AU,1675823477
363,nacozari,25.3366,-108.2574,287.07,40,94,4.97,MX,1675823478
